Detector,Descriptor,ID,Lidar_TopView_Xmin,Lidar_BBox_Xmin,Lidar_TopView_DeltaV,Lidar_BBox_DeltaV,TTC_Lidar_TopView,TTC_Lidar_BBox,TTC_Camera,TTC_Diff1[%],TTC_Diff2[%]
SHITOMASI,BRIEF,62,  4.64,  4.63,  0.00,  0.01,  -nan,308.79,-39.87,   nan,112.91
SHITOMASI,BRIEF,63,  4.64,  4.50,  0.03,  0.13,100.00, 34.62,-74.05,188.82,313.86
SHITOMASI,BRIEF,64,  4.64,  4.63,  0.00,  0.02,  -nan,185.17,-74.05,   nan,139.99
SHITOMASI,BRIEF,65,  4.65,  4.50,  0.06,  0.00, 83.91,10000.00,10000.00, 99.16,  0.00
SHITOMASI,BRIEF,66,  4.65,  4.64,  0.00,  0.15,  -nan, 30.96,10000.00,   nan,32199.45
SHITOMASI,BRIEF,67,  4.63,  4.51,  0.16,  0.09, 29.27, 50.11,-57.65, 41.59,215.04
SHITOMASI,BRIEF,68,  4.63,  4.65,  0.00,  0.08,  -nan, 58.15,-57.65,   nan,199.15
SHITOMASI,BRIEF,69,  4.63,  4.50,  0.05,  0.10, 99.31, 47.38,-55.10,109.62,216.30
SHITOMASI,BRIEF,70,  4.63,  4.65,  0.00,  0.01,  -nan,465.02,-55.10,   nan,111.85
SHITOMASI,BRIEF,71,  4.61,  4.50,  0.25,  0.01, 18.63,10000.00,10000.00, 99.81,  0.00
SHITOMASI,BRIEF,72,  4.61,  4.65,  0.00,  0.03,  -nan,154.93,10000.00,   nan,6354.43
SHITOMASI,BRIEF,73,  4.62,  4.51,  0.11,  0.03, 43.71,150.15,10000.00, 70.89,6559.84
SHITOMASI,BRIEF,74,  4.62,  4.64,  0.00,  0.09,  -nan, 54.58,10000.00,   nan,18221.15
SHITOMASI,BRIEF,75,  4.62,  4.50,  0.01,  0.03,100.00,150.05,-77.72, 33.36,151.80
SHITOMASI,BRIEF,76,  4.62,  4.63,  0.00,  0.07,  -nan, 71.28,-77.72,   nan,209.04
SHITOMASI,BRIEF,77,  4.61,  4.50,  0.07,  0.00, 69.35,10000.00,10000.00, 99.31,  0.00
SHITOMASI,BRIEF,78,  4.61,  4.65,  0.00,  0.19,  -nan, 25.14,10000.00,   nan,39672.31
SHITOMASI,BRIEF,79,  4.64,  4.50,  0.27,  0.00, 17.14,10000.00,10000.00, 99.83,  0.00
SHITOMASI,BRIEF,80,  4.64,  4.66,  0.00,  0.04,  -nan,116.38,10000.00,   nan,8492.39
SHITOMASI,BRIEF,81,  4.62,  4.51,  0.24,  0.03, 19.65,150.15,10000.00, 86.92,6559.84
SHITOMASI,BRIEF,82,  4.62,  4.65,  0.00,  0.05,  -nan,103.35,10000.00,   nan,9575.66
SHITOMASI,BRIEF,83,  4.64,  4.50,  0.20,  0.03, 23.07,180.08,10000.00, 87.19,5453.13
SHITOMASI,BRIEF,84,  4.64,  4.64,  0.00,  0.12,  -nan, 38.66,10000.00,   nan,25767.83
SHITOMASI,BRIEF,85,  4.62,  4.50,  0.22,  0.00, 20.69,10000.00,10000.00, 99.79,  0.00
SHITOMASI,BRIEF,86,  4.62,  4.64,  0.00,  0.04,  -nan,132.63,10000.00,   nan,7439.52
SHITOMASI,BRIEF,87,  4.63,  4.51,  0.19,  0.03, 24.53,150.19,10000.00, 83.67,6558.37
SHITOMASI,BRIEF,88,  4.63,  4.63,  0.00,  0.13,  -nan, 37.04,10000.00,   nan,26897.94
SHITOMASI,BRIEF,89,  4.63,  4.50,  0.04,  0.03,100.00,150.09,10000.00, 33.37,6562.80
